Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
Order{id=29, customerId=200, date='2024-12-11', price=275.00}
Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
Order{id=29, customerId=200, date='2024-12-11', price=275.00}
Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
Order{id=29, customerId=200, date='2024-12-11', price=275.00}
Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
Order{id=29, customerId=200, date='2024-12-11', price=275.00}
Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
Order{id=29, customerId=200, date='2024-12-11', price=275.00}
Order{id=5, customerId=99, date='2024-12-11', price=45.99}
Order{id=8, customerId=999, date='2024-12-11', price=230.40}
Order{id=12, customerId=979, date='2024-12-11', price=1500.00}
Order{id=20, customerId=998, date='2024-12-11', price=250.00}
